	magic.0360	magic.0273	magic.0656	magic.0640	magic.0279	magic.0674	magic.1032	magic.0368	magic.0931	magic.0397	magic.1241	magic.0319	magic.0719	magic.0875	magic.0172	magic.0399	magic.0234	magic.0216	magic.0414	magic.0436	magic.0696	magic.0255	magic.0245	magic.0220	magic.0304	magic.0115	magic.0182	magic.0940	magic.0872	magic.0392	magic.0042	magic.0692	magic.0284	magic.0916	magic.0043	magic.0400	magic.0023	magic.0683	magic.0387	magic.0883	magic.1617	magic.0808	magic.0890	magic.0515	magic.0906	magic.0312	magic.1721	magic.0448	magic.0103	magic.0781	magic.0569	magic.0571	magic.0113	magic.0803	magic.0266	magic.0795	magic.0444	magic.0739	magic.0275	magic.0896	magic.0888	magic.0583	magic.0014	magic.0828	magic.0450	magic.0176	magic.0085	magic.0314	magic.0671	magic.0270	magic.0881	magic.0786	magic.1906	magic.0609	magic.1036	magic.0513	magic.0830	magic.0361	magic.0572	magic.0060	magic.0724	magic.1963	magic.0606	magic.0870	magic.0457	magic.1468	magic.0500	magic.0747	magic.0499	magic.0409	magic.0411	magic.0895	magic.0942	magic.0783	magic.0227	magic.0462	magic.0277	magic.0038	magic.0744	magic.0681	magic.0108	magic.0691	magic.0847	magic.0859	magic.0421	magic.1322	magic.1922	magic.1719	magic.0848	magic.0464	magic.0089	magic.0752	magic.0573	magic.1428	magic.0327	magic.0634	magic.0802	magic.0214	magic.0171	magic.0937	magic.0614	magic.0594	magic.0390	magic.0451	magic.0643	magic.0649	magic.1103	magic.0478	magic.0837	magic.0920	magic.0889	magic.0123	magic.0627	magic.0503	magic.1508	magic.0842	magic.0632	magic.1591	magic.0178	magic.0944	magic.1918	magic.0458	magic.0369	magic.0365	magic.0438	magic.0133	magic.0570	magic.0737	magic.0498	magic.0472	magic.0502	magic.0441	magic.0372	magic.0477	magic.0558	magic.0913	magic.0394	magic.0422	magic.0589	magic.0518	magic.0936	magic.0253	magic.0873	magic.0818	magic.0561	magic.0321	magic.0049	magic.0403	magic.0158	magic.0711	magic.1792	magic.0605	magic.1496	magic.0497	magic.0602	magic.0167	magic.1464	magic.0121	magic.0460	magic.0385	magic.0308	magic.0584	magic.0265	magic.0125	magic.0389	magic.0174	magic.0325	magic.0564	magic.0860	magic.0333	magic.1171	magic.0453	magic.0715	magic.0470	magic.0525	magic.0324	magic.0533	magic.0341	magic.0455	magic.0827	magic.0386	magic.0678	magic.1566	magic.0680	magic.0517	magic.0111	magic.0922	magic.0281	magic.0309	magic.0107	magic.0626	magic.0918	magic.0395	magic.0797	magic.0601	magic.0516	magic.1602	magic.0638	magic.0714	magic.0625	magic.0336	magic.0778	magic.0415	magic.0612	magic.0218	magic.1305	magic.0806	magic.0418	magic.0416	magic.0593	magic.0344	magic.0529	magic.0633	magic.0522	magic.0408	magic.0426	magic.0225	magic.0946	magic.0579	magic.0467	magic.0580	magic.0410	magic.0459	magic.0615	magic.0249	magic.0876	magic.0703	magic.0850	magic.0439	magic.0824	magic.0302
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus fischeri;t__Aspergillus fischeri NRRL 181	320	3	22	76	730	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	53	546	0	0	0	1	0	0	0	0	0	0	0	21	0	0	10	0	0	0	5	0	0	0	0	0	133	2	0	0	0	1	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus clavatus;t__Aspergillus clavatus NRRL 1	5	1138	0	0	0	0	12	1318	19	0	4	0	0	0	105	0	2229	2565	0	0	0	2460	0	0	0	7	1	1140	295	56	692	48	0	534	0	506	3	16	1	3	0	49	0	180	88	0	0	82	0	167	0	0	37	1	90	206	61	220	90	0	0	0	0	0	76	15	1	0	22	0	0	124	0	86	1	0	125	0	94	1	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	62	0	1	156	0	0	0	34	160	170	1	0	96	2	26	49	41	0	0	0	0	13	58	48	24	0	60	0	2	0	0	0	0	0	75	76	16	5	6	1	0	0	2	0	67	11	29	0	1	45	0	12	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	8	0	0	0	0	52	0	0	0	0	0	2	1	0	1	0	5	0	0	0	5	1	1	0	0	0	0	0	0	0	14	0	0	0	1	0	0	9	0	6	0	0	0	0	0	4	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala aquamarina;t__Exophiala aquamarina CBS 119918	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota	12	179	3	0	40	1	212	7	80	0	10	7	2	15	6	0	8	10	0	0	1	14	5	2	17	565	3	0	8	0	1	3	52	11	6	0	12	2	5	40	48	3	11	3	7	18	0	0	5	0	5	0	18	3	12	5	0	4	0	2	1	0	5	0	2	1	5	6	0	73	1	0	0	0	17	0	8	2	1	3	6	19	0	5	2	16	0	2	0	1	0	8	0	27	4	1	6	15	3	1	43	3	0	4	11	9	314	0	2	0	18	4	6	0	5	27	1	15	2	3	0	0	3	0	2	0	35	0	4	1	2	10	5	0	0	1	0	0	2	0	4	0	42	113	0	2	0	74	0	1	0	0	10	0	5	2	0	0	13	0	1	6	27	0	0	31	0	5	1	5	5	4	112	0	0	19	63	13	0	143	20	0	2	15	9	2	48	5	2	1	6	2	15	0	8	3	3	16	7	2	42	1	1	3	0	2	3	3	9	7	0	2	0	0	0	0	17	0	19	0	18	4	0	5	6	5	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
k__Fungi	2	161	3	1	23	1	15	2	13	1	24	7	3	5	11	0	21	2	3	0	1	46	0	5	14	172	3	0	172	1	2	0	37	35	3	3	25	3	9	5	327	52	65	8	4	17	1	13	37	0	51	7	5	3	1	110	3	18	1	3	1	4	19	4	19	1	1	26	1	135	2	2	0	2	6	1	2	0	35	0	7	866	1	2	2	4	0	3	2	19	7	6	0	2	8	17	78	15	46	1	23	3	0	0	209	8	48	0	4	7	2	0	12	1	0	0	1	16	2	157	6	2	1	0	2	0	570	14	1	7	2	4	1	8	1	4	0	0	27	2	1	0	39	85	2	0	3	1103	5	9	8	1	6	3	50	0	0	0	4	1	0	0	122	4	0	217	0	5	2	0	1	9	20	41	1	14	109	0	10	6	6	2	14	41	4	5	22	1	0	4	14	14	248	18	177	7	87	6	56	38	16	15	12	1	12	0	0	8	2	4	1	4	5	1	27	0	5	0	2	3	4	0	2	96	7	0	0	1	0	0	0	0	0	0	2	2	1	0	11	0	1	4	1	2	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia corticola	18	0	3	11	37	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	27	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__;o__;f__;g__Saitoella;s__Saitoella complicata;t__Saitoella complicata NRRL Y-17804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia epimyces;t__Capronia epimyces CBS 606.96	0	34	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	95	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	19	0	0	0	0	138	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium;s__Aureobasidium pullulans;t__Aureobasidium pullulans EXF-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	1	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
