	magic.1697	magic.1740	magic.1538	magic.1236	magic.1510	magic.1144	magic.0963	magic.0911	magic.1427	magic.1122	magic.1424	magic.1045	magic.3043	magic.1126	magic.1755	magic.0701	magic.0771	magic.1002	magic.1076	magic.1050	magic.1398	magic.1407	magic.1114	magic.1303	magic.1248	magic.1480	magic.2070	magic.1075	magic.1156	magic.1130	magic.1223	magic.0989	magic.1215	magic.2162	magic.1298	magic.1321	magic.0987	magic.1155	magic.2367	magic.0999	magic.1314	magic.2879	magic.1133	magic.1137	magic.1478	magic.1408	magic.1330	magic.1388	magic.1309	magic.1683	magic.1659	magic.1195	magic.1730	magic.1642	magic.1227	magic.1135	magic.2824	magic.0961	magic.1395	magic.1218	magic.1294	magic.1131	magic.1194	magic.1220	magic.1301	magic.1645	magic.1235	magic.0950	magic.1181	magic.1049	magic.1116	magic.1192	magic.1290	magic.1006	magic.1034	magic.1288	magic.1514	magic.0700	magic.0772	magic.0933	magic.2480	magic.2397	magic.0835	magic.1264	magic.1332	magic.1396	magic.1204	magic.1529	magic.1383	magic.1310	magic.1279	magic.1206	magic.1202	magic.0959	magic.2925	magic.1402	magic.1064	magic.0729	magic.1044	magic.1313	magic.1057	magic.1151	magic.1570	magic.1611	magic.1339	magic.2632	magic.1286	magic.1418	magic.1603	magic.1003	magic.1197	magic.1041	magic.1304	magic.1228	magic.0677	magic.1516	magic.2542	magic.1669	magic.1327	magic.1254	magic.1362	magic.1575	magic.1163	magic.1245	magic.1641	magic.1354	magic.0934	magic.2237	magic.1079	magic.1476	magic.1291	magic.1382	magic.1681	magic.1311	magic.0817	magic.1296	magic.1686	magic.1159	magic.0788	magic.1345	magic.1358	magic.0672	magic.1272	magic.0794	magic.1119	magic.1048	magic.1001	magic.1188	magic.1136	magic.0972	magic.1174	magic.1008	magic.0857	magic.1129	magic.0975	magic.0908	magic.1172	magic.1460	magic.0832	magic.0998	magic.1331	magic.1189	magic.1043	magic.1318	magic.0957	magic.1542	magic.1504	magic.1716	magic.1328	magic.0951	magic.1038	magic.1335	magic.3451	magic.1714	magic.2796	magic.1196	magic.1247	magic.1377	magic.1708	magic.2224	magic.1646	magic.1336	magic.1153	magic.1604	magic.1764	magic.1425	magic.1366	magic.0986	magic.1732	magic.1557	magic.1295	magic.1074	magic.1312	magic.1011	magic.1287	magic.0727	magic.1662	magic.1037	magic.1053	magic.1083	magic.1109	magic.1080	magic.1138	magic.0884	magic.1368	magic.1207	magic.1252	magic.2717	magic.1010	magic.1326	magic.1242	magic.1374	magic.1221	magic.1320	magic.0954	magic.1160	magic.1349	magic.1352	magic.1016	magic.1209	magic.1176	magic.1046	magic.1238	magic.1118	magic.1333	magic.1501	magic.1257	magic.1260	magic.1105	magic.0811	magic.1394	magic.1379	magic.1282	magic.1063	magic.1082	magic.2833	magic.1571	magic.1009	magic.1608	magic.1574	magic.1668	magic.1056	magic.1169	magic.1121	magic.1675	magic.1031	magic.1451	magic.1180	magic.1112	magic.1005	magic.0885	magic.1147	magic.1482	magic.0952	magic.0947	magic.0988
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus vadensis;t__Aspergillus vadensis CBS 113365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus niger;t__Aspergillus niger CBS 513.88	0	4	90	1	1161	2429	2873	109	45	30	0	5	5	579	863	2808	421	296	202	301	631	1818	702	1363	0	15	326	0	34	697	340	26	16	3	54	247	0	194	137	15	76	65	212	309	0	232	82	185	31	201	2	125	37	235	26	161	25	200	6	284	63	594	18	245	78	203	170	115	268	152	62	9	124	35	98	0	1	441	101	564	242	186	162	3	2	54	2	54	11	136	8	205	237	10	4	179	368	207	0	15	188	17	161	17	24	3	1031	827	567	0	37	103	31	59	53	132	35	27	0	10	0	3	6	0	0	4	164	0	0	0	2	44	41	172	0	17	82	15	17	55	0	148	38	1	38	2	210	170	109	0	55	0	0	14	154	44	17	287	28	111	65	0	0	2	53	39	0	46	1	50	16	0	4	0	1	2	0	38	12	14	102	49	0	22	0	6	68	28	1	4	3	25	250	1	29	17	1	0	0	0	11	7	0	0	0	4	0	0	15	22	20	3	0	1	1	0	0	0	2	0	0	0	0	18	4	7	1	10	4	1	8	0	4	3	1	22	0	0	1	1	13	1	0	0	0	1	3	0	0	0	1	0	0	3	1	1
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus flavus;t__Aspergillus flavus NRRL3357	13	2	234	6	150	530	525	2	19	57	5	48	4	31	91	796	1692	1223	482	770	130	565	264	831	16	63	1513	30	110	335	667	65	26	6	187	792	31	655	237	51	249	350	108	898	23	774	361	469	137	710	2	239	139	821	101	719	182	710	18	53	240	1014	38	992	181	577	254	323	280	484	131	70	341	190	465	6	0	1204	378	167	626	257	589	14	4	33	17	194	41	408	6	43	134	39	14	448	1060	544	14	8	0	89	101	1	3	45	135	110	60	0	257	285	54	297	244	46	137	7	3	7	0	5	39	1	0	25	117	9	1	1	4	93	18	284	24	37	89	34	2	95	0	651	47	8	88	9	726	47	357	4	176	0	1	43	649	229	12	101	43	262	5	2	0	14	53	142	0	209	65	76	66	2	14	0	0	19	0	146	52	89	327	168	0	1	1	44	193	88	2	6	9	85	94	67	54	37	5	30	4	0	53	20	0	17	39	7	0	4	31	22	66	10	0	0	2	1	0	0	28	0	0	0	0	39	25	30	1	28	0	2	33	0	20	6	0	33	7	0	1	7	7	3	1	19	1	0	7	0	1	1	4	0	0	0	0	0
k__Fungi;p__Ascomycota	32	5	3774	2	1	1	2	362	1	0	11	52	155	0	0	2	8	13	1	4	1	9	1	3	19	30	2	0	1	3	5	4	1	65	8	2	0	18	28	0	0	3	9	2	5	0	0	47	11	0	22	0	2579	3	10	0	43	0	1	14	11	1	5	0	5	17	0	2	0	0	0	74	9	2	0	16	3	1	2	2	0	0	3	0	4	4	0	59	1	287	32	5	13	1	0	0	0	1	2	29	3	0	5	183	3	9	10	17	0	1	1	2	0	27	1	8	0	36	1	1	21	6	2	0	0	0	56	1	0	370	0	0	8	0	4	0	4	0	6	1	1	0	1	1	1	15	0	0	0	1	5	0	0	13	1	3	1	2	0	12	2	2	0	0	1	1	0	4	0	3	13	7	2	0	8	3	0	2	12	9	2	0	4	10	11	2	2	1	586	5	14	0	8	0	0	3	7	0	4	0	2	0	0	5	27	24	1	6	33	2	5	2	2	0	1	1	5	0	0	1	0	2	0	1	11	3	10	0	0	5	1	13	0	4	0	0	4	0	0	8	1	3	1	1	1	0	1	0	0	2	0	0	0	0	0	0
k__Fungi	25	22	216	0	0	0	22	48	1	1	89	1194	37	0	10	16	58	304	2	88	2	58	73	2	4	872	4	7	3	12	5	2	1	15	0	3	1	0	12	0	1	3	3	17	1	4	1	15	26	13	184	1	109	4	27	0	15	2	0	47	57	3	2	2	0	117	2	3	1	1	0	470	6	1	36	1	0	10	2	17	2	6	17	2	49	6	11	5	6	6	43	8	1	0	0	3	0	123	11	6	0	26	0	13	7	2	1	50	1	6	4	5	1	105	0	1	0	57	0	0	3	1	8	0	10	0	12	9	0	30	0	7	1	3	100	4	6	0	17	3	1	3	0	9	0	5	2	0	4	12	21	5	3	7	7	40	0	46	2	2	13	0	1	1	0	4	0	1	2	1	1051	0	22	3	0	2	0	4	13	2	2	0	2	7	3	17	5	1	33	11	1	0	2	0	0	0	10	7	63	0	1	3	21	60	114	10	0	23	5	0	8	7	0	3	0	3	5	0	1	3	0	6	1	0	8	1	6	0	2	3	6	4	0	1	11	1	12	3	0	13	4	25	0	9	0	1	0	1	0	6	0	7	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus fischeri;t__Aspergillus fischeri NRRL 181	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	72	0	0	5	0	1	1	12340	0	0	0	0	0	0	0	0	4	0	0	4	0	0	1	1	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	72	2	0	4	0	1	0	0	0	1	0	10	0	2	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	9	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	2	1	0	0	0	10	0	0	0	0	0	44	0	0	0	1	0	1	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus clavatus;t__Aspergillus clavatus NRRL 1	0	0	59	0	491	1264	65	0	46	104	0	0	0	0	313	96	279	314	0	1	335	86	56	0	0	1	0	0	0	117	1558	7	2	1	13	0	1	0	74	0	45	1	13	0	0	0	53	13	200	0	0	49	5	127	1	0	24	966	7	1	409	1971	0	0	247	0	40	556	25	717	305	0	2	0	32	0	0	187	48	44	75	194	75	0	0	0	0	26	16	2	1	2	6	2	0	952	161	0	0	0	0	1	18	0	0	0	0	35	32	0	0	516	12	0	1	7	17	0	0	0	0	0	1	0	1	14	10	0	0	0	0	25	33	473	0	9	17	0	0	0	0	111	0	2	14	3	161	96	443	1	0	0	0	1	782	17	15	205	4	352	0	0	0	0	6	13	0	45	0	35	0	1	0	0	0	1	1	28	14	2	0	17	0	3	0	0	0	12	1	0	0	7	19	0	15	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	3	4	0	0	0	2	0	1	0	5	0	0	0	2	2	3	1	11	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora fijiensis;t__Pseudocercospora fijiensis CIRAD86	0	0	32	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia corticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
