	magic.1836	magic.1858	magic.2338	magic.1875	magic.2734	magic.2538	magic.1564	magic.2168	magic.1902	magic.2149	magic.2462	magic.1772	magic.2265	magic.2678	magic.2074	magic.1900	magic.2187	magic.1718	magic.1867	magic.1475	magic.2176	magic.2173	magic.1866	magic.1745	magic.1585	magic.2017	magic.2353	magic.2212	magic.2111	magic.2328	magic.2454	magic.1975	magic.1941	magic.2148	magic.2094	magic.2420	magic.1940	magic.1647	magic.2215	magic.1768	magic.1862	magic.1968	magic.2752	magic.1847	magic.2508	magic.1816	magic.2244	magic.2754	magic.2775	magic.2436	magic.1777	magic.1846	magic.1526	magic.1559	magic.1989	magic.1567	magic.2231	magic.2387	magic.2385	magic.1693	magic.1935	magic.2095	magic.2019	magic.2134	magic.3458	magic.2182	magic.1920	magic.2360	magic.1657	magic.1827	magic.1747	magic.2297	magic.2071	magic.1831	magic.2372	magic.1525	magic.1838	magic.1885	magic.1915	magic.1890	magic.1805	magic.2610	magic.1598	magic.2559	magic.2056	magic.1912	magic.2331	magic.1927	magic.1848	magic.3033	magic.1765	magic.2185	magic.2351	magic.1876	magic.1465	magic.2305	magic.2112	magic.2007	magic.1868	magic.1648	magic.1830	magic.2246	magic.2431	magic.1806	magic.1872	magic.2703	magic.2566	magic.2031	magic.2346	magic.2228	magic.2442	magic.2345	magic.2453	magic.2059	magic.1883	magic.2140	magic.1469	magic.2163	magic.1613	magic.2097	magic.1844	magic.2469	magic.2391	magic.1463	magic.1717	magic.2314	magic.2677	magic.1877	magic.1892	magic.2316	magic.2776	magic.2272	magic.2154	magic.2352	magic.2151	magic.1854	magic.1990	magic.1494	magic.1691	magic.1923	magic.2403	magic.2308	magic.1991	magic.1726	magic.2701	magic.1851	magic.2120	magic.1674	magic.2544	magic.2214	magic.1811	magic.2292	magic.1720	magic.2376	magic.2115	magic.2379	magic.2171	magic.2209	magic.2093	magic.1986	magic.1938	magic.2267	magic.2594	magic.2024	magic.1919	magic.2356	magic.2953	magic.2251	magic.2644	magic.1901	magic.1967	magic.2347	magic.1895	magic.2240	magic.1888	magic.1706	magic.2613	magic.1864	magic.1969	magic.2080	magic.2107	magic.2765	magic.1750	magic.2409	magic.2199	magic.2072	magic.1823	magic.1820	magic.1998	magic.1655	magic.2764	magic.2597	magic.1962	magic.0445	magic.2340	magic.1889	magic.2357	magic.2064	magic.2298	magic.2643	magic.1695	magic.2170	magic.1803	magic.2383	magic.2264	magic.1891	magic.1861	magic.2175	magic.2478	magic.2321	magic.2459	magic.2358	magic.2432	magic.2318	magic.2735	magic.0423	magic.1951	magic.1493	magic.2348	magic.1911	magic.1999	magic.2354	magic.2221	magic.2315	magic.2258	magic.2053	magic.1633	magic.1621	magic.1527	magic.2439	magic.2169	magic.1741	magic.2450	magic.2507	magic.2311	magic.2295	magic.1519	magic.2192	magic.2261	magic.1637	magic.2121	magic.2429	magic.2296	magic.1812	magic.2416	magic.2001	magic.1839	magic.1583	magic.1673	magic.2153	magic.1893	magic.1565	magic.2270	magic.2184	magic.1670	magic.1601	magic.1961
k__Fungi	7	81	96	12	198	105	51	38	11	4	286	228	211	23	12	648	49	0	41	0	91	26	33	36	36	0	9	4	59	61	8	22	8	0	273	47	2172	6	901	3	0	17	9	0	1	1	2	63	0	3	5	33	5	3	90	2	348	146	42	0	9	3	0	76	2	2	5	5	1	12	605	13	6	0	2	8	2	1	0	1	15	0	0	13	1	3	299	55	19	2	83	12	3	5	1	4	74	16	7	109	15	6	34	11	85	3	11	1	149	4	7	16	9	13	0	45	33	29	4	12	66	32	10	1	0	0	2	1	18	4	13	95	437	0	16	81	8	3	2	53	22	3	10	8	5	8	5	1	13	4	51	13	37	1	2	2	2	4	8	2	1	8	0	4	5	3	2	11	8	0	2	7	3	10	0	18	3	9	498	5	6	4	3	5	10	0	4	13	11	3	2	15	2	8	0	13	18	13	1	0	169	4	10	1	1	3	11	33	2	7	7	0	7	364	1	1	6	14	7	1	0	5	224	2	17	1	3	5	2	8	3	1	2	0	6	0	5	12	7	3	0	2	2	1	0	0	0	0	9	7	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces cerevisiae;t__Saccharomyces cerevisiae S288C	0	5033	48	1	0	25	283	292	769	59	713	1	441	0	0	1	10936	0	2694	0	4	262	0	53	3662	0	0	2250	2	2	244	26	3	0	0	550	0	2	23	3	23	0	184	1	320	1	2	27	2	0	4	1	19	0	480	0	0	561	307	4	0	5	0	0	0	1	2	439	0	9	6	1482	0	2	334	119	13	237	0	10	10	46	0	325	0	0	225	0	1	1	0	99	989	0	1	132	32	0	1	2	0	0	37	0	102	0	2	3	0	4	452	93	0	134	5	68	1	9	54	4	1	81	108	0	0	0	0	0	12	3	0	0	0	0	22	0	6	71	0	0	22	20	0	0	7	0	0	210	2	185	0	1	67	0	24	0	5	26	0	0	0	113	112	1	5	3	0	0	107	3	0	33	0	173	0	0	15	0	0	48	0	94	141	6	54	2	0	0	0	0	0	0	12	0	0	0	0	10	2	1	0	52	1	3	0	2	0	1	0	3	5	0	14	30	0	0	0	17	0	2	0	2	1	4	9	0	0	11	1	6	0	0	1	0	0	1	0	2	0	0	0	1	2	0	2	0	0	0	1	0	0	0	1	1	0	0	0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida;s__Candida albicans;t__Candida albicans SC5314	0	0	0	0	35789	1	8618	0	487	0	1	0	2	0	0	0	0	0	0	0	3194	0	0	2	0	0	0	0	2902	1	0	0	0	75	180	0	0	0	1	0	42	2	0	0	0	0	1	2	3	0	0	0	0	0	9	0	1	0	0	11	0	1	0	0	0	1	0	1	112	0	0	0	70	0	0	233	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	3	18	1	0	52	0	0	0	0	8	0	0	0	0	0	0	18	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	316	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	0	0	4	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0	93	0	0	1	0	32	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus niger;t__Aspergillus niger CBS 513.88	458	0	2	0	206	0	245	0	468	3	4	149	20	0	26365	52	7	4028	9	17	129	0	87	29	29	24	1130	0	68	14	1	1	65	35	26	1	1	35	27	458	27	0	4	0	0	530	5441	236	46	3	223	1	76	715	36	4	0	0	2	20	0	62	227	122	68	114	633	0	114	52	145	4	113	168	0	76	2	29	1	1	1	8	198	14	5	0	9	1	17	74	144	6	545	6	0	5	13	0	27	122	11	8	4	6	11	4	804	12	3	3	0	84	1857	1	8	4	4	0	7	17	4	0	1	4	170	14	0	4	0	2	58	123	4	21	8	3	1	1	0	65	2	122	1	24	1	63	0	14	2	0	0	68	11	9	4	81	17	4	194	49	25	6	14	1	13	3	85	63	13	43	40	3	24	19	4	1	0	34	24	1	0	92	27	6	0	6	10	60	0	34	7	17	34	0	19	43	3	11	30	17	0	1	0	1	2	14	1	0	0	7	1	1	0	2	0	2	3	2	0	2	0	2	50	40	0	8	2	37	0	0	31	12	5	0	8	3	16	6	0	2	0	0	2	0	1	0	0	1	0	3	0	0	1	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria maculans;t__Leptosphaeria maculans JN3	0	0	0	0	0	2	2	1	3	0	21	0	7	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	0	1	1	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	7	4	2	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	3	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota	3	20	5	19	197	77	252	142	91	67	4434	18	3408	134	1	61	319	2	406	0	513	138	2	131	165	0	4	31	62	15	2	68	80	0	136	87	291	75	3904	14	5	101	106	0	0	2	1	321	0	11	0	31	148	0	212	3	60	228	202	1	5	3	1	4	1	1	0	44	9	217	109	36	42	0	22	61	5	6	1	2	84	19	3	67	0	0	333	563	310	1	13	76	65	3	4	3	945	97	12	7	24	16	690	216	540	25	14	1	2458	20	63	0	89	87	4	651	85	314	45	40	206	408	35	0	5	0	102	17	136	16	19	13	348	1	50	74	13	21	2	3	89	6	9	5	34	12	0	8	7	1	13	2	51	0	27	3	16	5	1	2	2	31	4	33	21	3	0	7	138	0	0	132	22	11	0	93	18	20	29	6	3	127	68	8	92	0	6	1	10	0	2	202	27	1	0	54	7	24	1	9	23	91	4	0	1	6	17	0	3	1	0	1	17	48	0	1	4	0	1	24	1	9	80	3	70	8	0	5	15	17	9	2	8	0	11	0	0	23	45	32	0	3	1	1	2	0	1	8	6	9	0	0	0	0	0	2	1
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina;s__Sphaerulina musiva;t__Sphaerulina musiva SO2202	0	0	0	0	1	0	2	2	0	1	26	0	28	0	0	5	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	27	0	0	1	2	0	0	0	0	1	0	2	0	0	1	0	0	0	3	1	4	0	0	0	0	0	1	0	0	0	0	1	3	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	1	0	0	0	15	2	0	0	1	0	4	3	2	0	0	0	23	2	0	0	0	0	0	3	0	1	0	1	1	6	1	0	0	0	0	0	1	0	0	1	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia;s__Diplodia corticola	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
