	magic.2891	magic.2525	magic.2816	magic.3076	magic.2598	magic.3064	magic.2777	magic.3038	magic.3061	magic.3376	magic.2519	magic.2534	magic.2124	magic.2530	magic.3050	magic.2482	magic.3079	magic.2634	magic.3397	magic.1798	magic.3407	magic.2762	magic.3352	magic.2479	magic.2746	magic.2921	magic.3383	magic.1430	magic.1450	magic.3048	magic.3047	magic.2132	magic.2126	magic.2784	magic.3351	magic.3053	magic.3442	magic.2876	magic.3049	magic.2922	magic.2617	magic.2692	magic.2821	magic.2768	magic.3405	magic.2842	magic.2759	magic.2748	magic.3429	magic.3314	magic.3086	magic.3453	magic.1781	magic.3445	magic.2711	magic.3080	magic.2494	magic.3379	magic.1440	magic.2793	magic.3065	magic.2763	magic.3095	magic.2758	magic.2942	magic.2843	magic.2826	magic.3337	magic.3306	magic.2917	magic.1783	magic.2129	magic.1432	magic.3069	magic.3324	magic.2958	magic.3054	magic.2661	magic.2967	magic.2950	magic.3355	magic.2771	magic.2756	magic.2837	magic.2874	magic.3406	magic.2884	magic.2801	magic.2698	magic.2714	magic.3046	magic.2957	magic.2875	magic.2600	magic.2834	magic.2499	magic.2710	magic.3051	magic.2880.G03	magic.2709	magic.2493	magic.3077	magic.2591	magic.2815	magic.3308	magic.3330	magic.2585	magic.2687	magic.2945	magic.3090	magic.2944	magic.3068	magic.3040	magic.2836	magic.2558	magic.3447	magic.3335	magic.2554	magic.2966	magic.3446	magic.2123	magic.2791	magic.3309	magic.2832	magic.2651	magic.2527	magic.3393	magic.2628	magic.3430	magic.2739	magic.3084	magic.2773	magic.2916	magic.3057	magic.2680	magic.2663	magic.3323	magic.2927	magic.2825	magic.2774	magic.3441	magic.2926	magic.3420	magic.2732	magic.2900	magic.2696	magic.2894	magic.3036	magic.2878	magic.2609	magic.2904	magic.2552	magic.2576	magic.1790	magic.1433	magic.2770	magic.3099	magic.3078	magic.2819	magic.1448	magic.2778	magic.3366	magic.3098	magic.3433	magic.2839	magic.2587	magic.2548	magic.3345	magic.3435	magic.2766	magic.2743	magic.2797	magic.2501	magic.2648	magic.3440	magic.2952	magic.2549	magic.2787	magic.2646	magic.3402	magic.2946	magic.3385	magic.3328	magic.3372	magic.3063	magic.3371	magic.2577	magic.3321	magic.2807	magic.2532	magic.2968	magic.2780	magic.3411	magic.3419	magic.0461	magic.2593	magic.2880.H03	magic.2779	magic.2122	magic.2965	magic.3404	magic.3409	magic.3097	magic.2855	magic.3452	magic.2625	magic.3310	magic.3418	magic.2630	magic.2679	magic.3427	magic.2959	magic.2608	magic.2658	magic.2725	magic.3421	magic.2961	magic.2811	magic.3417	magic.3096	magic.3528	magic.3382	magic.2964	magic.2736	magic.2970	magic.2956	magic.3365	magic.3066	magic.3455	magic.1795	magic.3380	magic.3439	magic.3368	magic.2928	magic.2757	magic.3081	magic.2545	magic.2601	magic.2840	magic.3336	magic.1786	magic.3443	magic.3041	magic.2603	magic.3363	magic.3450	magic.3334	magic.3037	magic.3428	magic.2955	magic.2829	magic.2794	magic.3093
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces cerevisiae;t__Saccharomyces cerevisiae S288C	341818	4078	602	0	1466	55	0	12	128	0	35	4232	0	5	0	0	0	0	0	0	129	0	0	1	220	57	2	16	0	0	0	0	19	1	0	55	37	0	47	163	0	179	2	0	0	0	38	15	256	1	5	313	1	267	270	417	335	277	1	86	0	211	512	33	547	3	5	10	0	10	6	347	0	4	0	14	2	0	5	30	2	0	115	233	129	0	7	124	0	0	46	44	272	2	0	1	37	15	69	1	66	0	2	15	0	0	10	0	12	181	11	2	0	2	0	0	3	58	1	17	12	2	3	16	0	0	0	113	0	14	21	1	14	1	18	2	2	12	0	85	0	8	18	4	21	0	119	0	219	220	14	49	237	195	0	109	3	8	1	0	1	16	2	2	18	0	0	1	133	0	0	0	17	0	4	0	0	144	0	160	0	45	3	1	24	0	0	6	6	1	1	53	0	1	0	0	1	0	0	93	5	12	0	15	5	46	0	12	7	0	0	3	13	0	13	0	3	16	0	8	1	6	19	27	31	0	0	46	3	0	17	0	7	2	0	0	1	0	2	0	0	2	2	0	0	0	2	2	1	7	7	0	0
k__Fungi;p__Ascomycota	50297	695	13	0	14	61	10	4	1088	0	2238	70	23	3	30	1	0	0	0	0	14	3	2	148	9	18	4	42	6	0	2	0	79	0	2	3	24	2	18	0	4	288	448	5	3	13	39	42	42	19	57	895	7	49	205	118	87	20	1	25	3	171	17	4	103	27	44	26	0	13	2	111	1	461	1	17	5	24	127	99	12	2	23	2143	40	136	12	413	5	0	2	10	25	101	11	16	171	17	7	208	537	92	8	254	22	8	222	166	5	27	10	22	1	10	1	3	17	5	2	12	3	148	99	24	7	8	18	18	0	10	41	673	55	12	152	2	62	72	0	7	50	31	3	2	10	15	34	7	5	8	2	14	2	5	7	12	85	14	29	1	29	6	0	9	8	2	3	4	37	71	0	14	34	5	18	0	0	17	59	9	0	1	0	25	1	20	5	3	2	2	88	55	1	9	0	2	1	3	5	9	3	6	6	21	3	0	2	0	38	132	5	4	5	3	1	7	17	5	0	18	26	16	1	18	1	1	2	19	4	7	1	3	2	5	1	0	8	1	9	8	1	0	3	2	1	0	0	0	28	7	3	0	0
k__Fungi	2303	297	1	0	2	41	0	0	257	1	177	4	7	0	2	10	6	0	0	0	1	40	1	166	10	4	10	3	18	0	1	1	9	0	4	1	4	5	1	1	0	21	29	15	2	7	311	197	7	8	1	746	5	28	15	13	8	4	1	1	1	6	1	0	46	56	10	2	2	1	1	123	5	19	3	48	1	223	6	10	0	1	8	2337	4	9	1	68	8	3	1	84	3	15	5	142	11	3	2	9	89	4	5	20	5	0	24	38	0	107	4	4	1	8	1	9	4	0	1	4	2	16	5	25	3	1	17	3	0	10	13	33	22	2	6	27	1	11	0	0	3	4	108	64	14	17	5	1	13	3	1	10	0	1	0	2	53	2	4	0	7	5	1	1	2	1	2	10	3	1	4	3	2	4	6	0	0	0	13	7	13	4	2	2	0	1	4	0	1	8	1	7	0	2	0	2	0	1	5	6	2	0	3	234	1	3	3	1	66	9	1	0	1	0	2	0	1	0	3	3	3	1	4	6	0	0	1	0	1	1	1	0	2	0	1	0	23	0	4	3	2	3	1	1	0	0	1	0	1	1	0	2	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus niger;t__Aspergillus niger CBS 513.88	1	3	5	43	17	10	9	15171	12	2638	2	1	4	75	20	493	1349	139	2019	15	24	49	123	19	2	1718	182	25	1130	2076	1326	221	798	52	11301	3	239	1706	5	0	534	4	13	40	7	21	0	2	1	0	237	0	0	1	0	1	35	133	162	5	56	12	3	45	6	39	7	4	1	68	1250	30	406	2	9	357	102	5	8	13	2	21	187	15	3	6	1	1	82	7	12	0	14	14	66	76	16	364	0	1	53	9	526	1	0	10	10	18	1	9	0	1	0	141	1	1	0	51	23	0	3	8	0	1	0	1	2	0	0	0	0	13	1	1	4	2	0	0	32	1	0	88	6	6	0	2	0	1	5	0	4	1	5	0	0	1	2	1	0	1	31	3	11	0	0	0	7	3	3	0	0	2	2	0	2	18	2	9	7	4	2	2	0	0	3	2	26	1	4	20	0	3	1	2	2	2	5	7	11	8	0	0	0	5	3	0	7	7	1	12	6	1	4	21	0	2	0	2	1	2	1	1	26	1	0	1	1	1	0	4	0	0	2	0	0	7	0	7	63	0	2	7	0	0	4	0	14	1	1	4	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus clavatus;t__Aspergillus clavatus NRRL 1	0	3	1	16	14	6	0	581	19	121	1	1	4	91	7	182	78	60	192	137	11	23	46	11	0	281	27	18	427	228	1086	5	6	485	3	24	0	11	1	0	15	1	50	10	0	0	1	0	0	0	11	0	0	1	0	0	82	3	982	1	49	0	0	18	0	0	0	0	11	0	769	12	2	0	0	2	48	0	30	4	0	0	2	7	0	0	0	0	60	11	0	0	1	1	0	0	0	58	0	1	9	4	9	0	0	0	2	13	0	13	0	1	0	2	0	0	0	5	0	0	18	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	154	0	0	115	0	1	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	1	0	9	2	0	0	0	18	0	1	0	0	1	0	0	0	10	0	32	1	10	10	1	0	0	0	0	0	0	0	101	10	1	0	0	0	6	0	3	1	0	0	0	0	2	0	0	6	4	2	6	0	0	12	0	0	0	0	1	0	11	0	0	23	0	0	6	0	7	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	1	0	0	3	0	0	0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala dermatitidis;t__Exophiala dermatitidis NIH/UT8656	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	1	10	0	2	0	0	0	0	11	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria maculans;t__Leptosphaeria maculans JN3	103	3	0	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercospora;s__Pseudocercospora fijiensis;t__Pseudocercospora fijiensis CIRAD86	295	10	0	0	0	1	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	1	2	0	0	1	0	6	0	2	0	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes	24	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
